Flips,Mean,Std,Q1,Median,Q3,Min,Max,Count,Mean_Distance_from_0.5,Max_Distance_from_0.5
59,0.49987322033898307,0.06486671309737124,0.4576271186440678,0.4915254237288136,0.5423728813559322,0.23728813559322035,0.7796610169491526,100000,0.00012677966101692917,0.2796610169491526
60,0.4997935,0.06465817597259294,0.45,0.5,0.55,0.23333333333333334,0.75,100000,0.00020649999999999835,0.26666666666666666
61,0.49992262295081963,0.06393015917096828,0.45901639344262296,0.4918032786885246,0.5409836065573771,0.2459016393442623,0.7868852459016393,100000,7.737704918037158e-05,0.28688524590163933
62,0.5003448387096774,0.06349981337977363,0.45161290322580644,0.5,0.5483870967741935,0.20967741935483872,0.7903225806451613,100000,0.0003448387096773864,0.29032258064516125
63,0.4998896825396825,0.06302984407197436,0.4603174603174603,0.49206349206349204,0.5396825396825397,0.2222222222222222,0.7619047619047619,100000,0.00011031746031747725,0.2777777777777778
64,0.49989875,0.06255103047763567,0.453125,0.5,0.546875,0.21875,0.75,100000,0.00010124999999999718,0.28125
65,0.4997986153846154,0.06225641271981056,0.46153846153846156,0.49230769230769234,0.5384615384615384,0.24615384615384617,0.7384615384615385,100000,0.00020138461538460328,0.25384615384615383
66,0.5002769696969697,0.061427595191685294,0.45454545454545453,0.5,0.5454545454545454,0.21212121212121213,0.7575757575757576,100000,0.00027696969696966445,0.28787878787878785
67,0.49993417910447757,0.0610705488312221,0.4626865671641791,0.4925373134328358,0.5373134328358209,0.1791044776119403,0.7611940298507462,100000,6.58208955224282e-05,0.32089552238805974
68,0.5005185294117647,0.060498159005811736,0.45588235294117646,0.5,0.5441176470588235,0.23529411764705882,0.75,100000,0.0005185294117646677,0.2647058823529412
69,0.5000723188405797,0.06017688605786885,0.463768115942029,0.5072463768115942,0.5362318840579711,0.2463768115942029,0.7536231884057971,100000,7.231884057967708e-05,0.2536231884057971
70,0.5000461428571429,0.05988903908991144,0.45714285714285713,0.5,0.5428571428571428,0.22857142857142856,0.7571428571428571,100000,4.6142857142883464e-05,0.27142857142857146
71,0.5002670422535211,0.05916300576420425,0.4647887323943662,0.5070422535211268,0.5352112676056338,0.2535211267605634,0.7887323943661971,100000,0.00026704225352114364,0.28873239436619713
72,0.49984833333333334,0.05860446051852567,0.4583333333333333,0.5,0.5416666666666666,0.2361111111111111,0.7638888888888888,100000,0.00015166666666666107,0.2638888888888889
73,0.5000516438356164,0.0586691542414696,0.4657534246575342,0.5068493150684932,0.5342465753424658,0.2328767123287671,0.7534246575342466,100000,5.1643835616399514e-05,0.2671232876712329
74,0.500055,0.058134309777593735,0.4594594594594595,0.5,0.5405405405405406,0.21621621621621623,0.7702702702702703,100000,5.500000000002725e-05,0.28378378378378377
75,0.5000014666666667,0.05780526380395903,0.4666666666666667,0.49333333333333335,0.5333333333333333,0.26666666666666666,0.7333333333333333,100000,1.4666666666718342e-06,0.23333333333333334
76,0.4997151315789474,0.057255004109715416,0.4605263157894737,0.5,0.5394736842105263,0.2631578947368421,0.7368421052631579,100000,0.00028486842105257537,0.2368421052631579
77,0.5001962337662337,0.057010271790717916,0.4675324675324675,0.5064935064935064,0.5324675324675324,0.23376623376623376,0.7402597402597403,100000,0.00019623376623367772,0.26623376623376627
78,0.5001041025641025,0.0565180328319032,0.46153846153846156,0.5,0.5384615384615384,0.2692307692307692,0.7307692307692307,100000,0.00010410256410253727,0.23076923076923078
79,0.5002340506329114,0.05598560275854314,0.46835443037974683,0.5063291139240507,0.5443037974683544,0.27848101265822783,0.7341772151898734,100000,0.00023405063291137562,0.23417721518987344
80,0.499715125,0.0558824805932125,0.4625,0.5,0.5375,0.2625,0.7625,100000,0.00028487500000001775,0.26249999999999996
81,0.5002396296296296,0.05550794311595578,0.4691358024691358,0.5061728395061729,0.5432098765432098,0.25925925925925924,0.7530864197530864,100000,0.00023962962962964518,0.25308641975308643
82,0.5000859756097561,0.05520997888941581,0.4634146341463415,0.5,0.5365853658536586,0.2804878048780488,0.7317073170731707,100000,8.597560975609486e-05,0.23170731707317072
