Run,Streak Target,Flips Required
63,1,0
63,2,3
63,3,12
63,4,18
63,5,23
63,6,158
63,7,11
63,8,37
63,9,742
63,10,119
63,11,900
63,12,6375
63,13,3239
63,14,6040
63,15,42762
63,16,36574
63,17,63888
63,18,47132
63,19,7211
63,20,370160
64,1,0
64,2,1
64,3,4
64,4,7
64,5,9
64,6,64
64,7,131
64,8,212
64,9,47
64,10,1120
64,11,1654
64,12,1150
64,13,27507
64,14,22778
64,15,22868
64,16,60738
64,17,150210
64,18,295214
64,19,847653
64,20,447628
65,1,0
65,2,1
65,3,6
65,4,3
65,5,39
65,6,17
65,7,157
65,8,98
65,9,354
65,10,537
65,11,179
65,12,923
65,13,9788
65,14,24484
65,15,46429
65,16,2296
65,17,25150
65,18,107495
65,19,831010
65,20,1108347
66,1,0
66,2,1
66,3,2
66,4,18
66,5,60
66,6,20
66,7,150
66,8,25
66,9,435
66,10,763
66,11,61
66,12,3706
66,13,11407
66,14,3679
66,15,33903
66,16,14001
66,17,449786
66,18,481763
66,19,145054
66,20,2044348
67,1,0
67,2,2
67,3,4
67,4,14
67,5,50
67,6,73
67,7,90
67,8,102
67,9,500
67,10,1112
67,11,4197
67,12,2924
67,13,9288
67,14,886
67,15,526
67,16,26737
67,17,158650
67,18,137343
67,19,1927959
67,20,1433292
68,1,0
68,2,2
68,3,23
68,4,12
68,5,9
68,6,55
68,7,16
68,8,590
68,9,475
68,10,243
68,11,560
68,12,1602
68,13,8282
68,14,15218
68,15,11392
68,16,121336
68,17,47782
68,18,4156
68,19,190055
68,20,311872
69,1,0
69,2,2
69,3,5
69,4,5
69,5,12
69,6,17
69,7,45
69,8,202
69,9,201
69,10,2201
69,11,2581
69,12,2287
69,13,5665
69,14,44370
69,15,14557
69,16,275415
69,17,116785
69,18,494385
69,19,928313
69,20,1800412
70,1,0
70,2,1
70,3,8
70,4,9
70,5,18
70,6,98
70,7,36
70,8,393
70,9,471
70,10,1086
70,11,405
70,12,2143
70,13,2088
70,14,16127
70,15,866
70,16,86688
70,17,46376
70,18,139176
70,19,883879
70,20,6055
71,1,0
71,2,1
71,3,3
71,4,5
71,5,33
71,6,32
71,7,114
71,8,68
71,9,69
71,10,2728
